Attrition_Flag,Customer_Age,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy
Existing Customer,49,4,Uneducated,Single,R80K - R120K,Blue,30,3,2,3,34516,0,34516
Attrited Customer,48,2,Graduate,Married,R60K - R80K,Silver,35,2,4,4,34516,0,34516
Existing Customer,44,3,Graduate,Unknown,R80K - R120K,Blue,33,3,3,3,34516,0,34516
Existing Customer,48,3,Graduate,Single,R80K - R120K,Silver,37,3,2,3,34516,0,34516
Existing Customer,49,1,Graduate,Married,R120K +,Blue,39,3,2,3,34516,0,34516
Existing Customer,49,3,Uneducated,Single,R80K - R120K,Silver,41,4,1,2,34516,0,34516
Existing Customer,48,3,College,Married,R80K - R120K,Silver,36,6,2,2,34516,0,34516
Existing Customer,32,1,College,Divorced,R80K - R120K,Blue,36,5,3,4,34516,0,34516
Attrited Customer,54,3,College,Single,R120K +,Blue,49,3,2,3,34516,0,34516
Existing Customer,31,1,Unknown,Single,Unknown,Silver,36,4,3,2,34516,0,34516
Attrited Customer,40,4,Graduate,Single,R80K - R120K,Silver,22,3,1,3,34516,0,34516
Existing Customer,49,3,College,Single,R120K +,Blue,36,5,2,4,34516,0,34516
Existing Customer,45,3,Graduate,Married,R80K - R120K,Silver,36,6,2,3,34516,0,34516
Attrited Customer,40,3,College,Single,R80K - R120K,Silver,33,1,3,4,34516,0,34516
Attrited Customer,45,2,College,Divorced,R80K - R120K,Blue,39,3,4,4,34516,0,34516
Existing Customer,33,1,High School,Single,R80K - R120K,Blue,28,4,3,3,34516,0,34516
Existing Customer,35,1,Uneducated,Single,Unknown,Silver,27,4,3,2,34516,0,34516
Existing Customer,50,3,High School,Married,R120K +,Blue,40,5,1,4,34516,0,34516
Attrited Customer,55,2,College,Single,Unknown,Silver,36,2,3,3,34516,0,34516
Existing Customer,52,1,Unknown,Single,R120K +,Blue,44,6,1,2,34516,0,34516
Existing Customer,46,4,Graduate,Single,R80K - R120K,Silver,40,5,1,4,34516,0,34516
Existing Customer,37,4,Graduate,Single,R120K +,Blue,28,3,3,4,34516,0,34516
Attrited Customer,52,2,Graduate,Single,R80K - R120K,Blue,48,6,2,4,34516,0,34516
Existing Customer,41,4,Uneducated,Divorced,R80K - R120K,Gold,36,6,2,2,34516,0,34516
Existing Customer,47,4,Unknown,Single,R80K - R120K,Silver,37,5,2,4,34516,0,34516
Existing Customer,46,4,Graduate,Single,R120K +,Blue,34,4,1,2,34516,0,34516
Existing Customer,43,3,High School,Single,R120K +,Blue,36,3,1,3,34516,0,34516
Attrited Customer,48,3,Post-Graduate,Unknown,R120K +,Blue,35,2,2,6,34516,0,34516
Existing Customer,36,1,Graduate,Single,R120K +,Blue,20,3,2,2,34516,0,34516
Existing Customer,49,1,Unknown,Single,R120K +,Blue,40,5,3,1,34516,0,34516
Existing Customer,37,2,High School,Unknown,R120K +,Blue,32,6,1,1,34516,0,34516
Attrited Customer,47,3,Uneducated,Divorced,R120K +,Silver,42,2,4,5,34516,0,34516
Existing Customer,41,4,Unknown,Married,R80K - R120K,Blue,28,3,2,3,34516,0,34516
Attrited Customer,50,4,Graduate,Single,R120K +,Silver,32,5,3,2,34516,0,34516
Existing Customer,40,3,Graduate,Married,R80K - R120K,Silver,27,3,1,2,34516,0,34516
Existing Customer,37,5,Doctorate,Single,R80K - R120K,Silver,36,4,1,1,34516,0,34516
Existing Customer,39,3,Graduate,Single,R120K +,Blue,36,4,2,2,34516,0,34516
Attrited Customer,45,3,College,Single,R80K - R120K,Silver,33,1,3,3,34516,0,34516
Existing Customer,51,4,Uneducated,Divorced,R80K - R120K,Blue,38,5,3,2,34516,0,34516
Attrited Customer,44,1,High School,Unknown,R80K - R120K,Gold,36,2,2,3,34516,0,34516
Existing Customer,35,0,College,Single,R80K - R120K,Silver,16,6,3,3,34516,0,34516
Existing Customer,49,1,Unknown,Single,R80K - R120K,Blue,36,6,3,4,34516,0,34516
Existing Customer,59,1,Graduate,Single,R120K +,Blue,53,6,2,2,34516,0,34516
Existing Customer,52,1,Graduate,Single,R80K - R120K,Blue,44,3,3,1,34516,0,34516
Existing Customer,52,2,High School,Single,R120K +,Blue,46,4,2,4,34516,0,34516
Existing Customer,54,1,Uneducated,Single,R120K +,Blue,36,5,1,2,34516,0,34516
Attrited Customer,43,2,Graduate,Single,R80K - R120K,Blue,30,3,3,3,34516,0,34516
Existing Customer,46,3,Unknown,Married,Unknown,Silver,41,6,3,2,34516,0,34516
Attrited Customer,48,4,Uneducated,Single,R80K - R120K,Silver,43,2,3,4,34516,0,34516
Attrited Customer,43,2,College,Divorced,R120K +,Blue,37,4,1,2,34516,0,34516
Existing Customer,41,4,High School,Single,R120K +,Blue,28,5,1,4,34516,0,34516
Existing Customer,51,3,Uneducated,Married,R120K +,Blue,40,3,5,3,34516,0,34516
Attrited Customer,47,3,Uneducated,Single,R120K +,Blue,36,3,3,4,34516,0,34516
Existing Customer,56,4,High School,Single,R80K - R120K,Blue,40,4,3,3,34516,0,34516
Attrited Customer,44,2,High School,Unknown,Unknown,Gold,35,3,3,3,34516,0,34516
Attrited Customer,52,2,High School,Single,R120K +,Blue,38,6,3,3,34516,0,34516
Existing Customer,55,3,Graduate,Single,R120K +,Blue,43,5,1,3,34516,0,34516
Attrited Customer,50,2,Doctorate,Married,R120K +,Silver,45,6,3,3,34516,0,34516
Attrited Customer,54,2,College,Single,R120K +,Blue,36,3,2,3,34516,0,34516
Attrited Customer,49,2,Graduate,Unknown,R80K - R120K,Blue,38,3,4,3,34516,0,34516
Existing Customer,40,3,Graduate,Divorced,R120K +,Blue,30,3,2,1,34516,0,34516
Attrited Customer,45,4,Unknown,Single,Unknown,Gold,27,1,2,3,34516,0,34516
Existing Customer,51,1,College,Married,R80K - R120K,Silver,38,2,3,2,34516,0,34516
Attrited Customer,41,3,High School,Married,R120K +,Blue,32,2,2,1,34516,0,34516
Attrited Customer,58,1,College,Single,R120K +,Silver,45,1,3,2,34516,0,34516
Attrited Customer,52,1,High School,Married,R120K +,Blue,34,2,3,1,34516,0,34516
Existing Customer,49,4,Graduate,Single,R120K +,Silver,36,2,2,2,34516,0,34516
Existing Customer,48,4,Graduate,Married,R60K - R80K,Gold,36,1,6,1,34516,0,34516
Existing Customer,50,2,Graduate,Single,R80K - R120K,Silver,35,1,2,3,34516,0,34516
Attrited Customer,44,4,Unknown,Married,R120K +,Blue,36,4,3,3,34516,0,34516
Attrited Customer,50,1,Post-Graduate,Unknown,R80K - R120K,Gold,36,2,3,2,34516,0,34516
Attrited Customer,54,0,Graduate,Single,Unknown,Platinum,38,2,2,2,34516,0,34516
Existing Customer,39,2,Unknown,Single,R80K - R120K,Gold,33,1,3,2,34516,0,34516
Existing Customer,51,3,Uneducated,Married,R80K - R120K,Silver,37,1,2,1,34516,0,34516
Existing Customer,56,3,Uneducated,Single,Unknown,Platinum,46,2,3,2,34516,0,34516
Attrited Customer,41,3,Uneducated,Married,R120K +,Blue,36,1,2,3,34516,0,34516
Attrited Customer,41,4,Graduate,Single,R80K - R120K,Silver,29,2,3,6,34516,0,34516
Existing Customer,49,4,Post-Graduate,Married,R120K +,Silver,41,2,3,2,34516,0,34516
Existing Customer,38,3,High School,Single,R120K +,Blue,27,2,4,1,34516,0,34516
Existing Customer,35,3,College,Unknown,R80K - R120K,Silver,29,2,2,2,34516,0,34516
Attrited Customer,34,3,High School,Unknown,R80K - R120K,Silver,21,1,2,3,34516,0,34516
Existing Customer,38,2,High School,Single,R80K - R120K,Blue,31,1,3,2,34516,0,34516
Attrited Customer,59,0,High School,Single,R80K - R120K,Gold,48,5,2,6,34516,0,34516
Attrited Customer,53,3,High School,Single,R80K - R120K,Silver,33,2,2,3,34516,0,34516
Existing Customer,42,2,Graduate,Single,R60K - R80K,Silver,36,3,3,2,34516,0,34516
Attrited Customer,50,2,Graduate,Single,R80K - R120K,Silver,40,3,4,6,34516,0,34516
Existing Customer,37,1,Uneducated,Married,R120K +,Blue,17,1,1,3,34516,0,34516
Existing Customer,43,2,Graduate,Married,R80K - R120K,Blue,38,2,1,2,34516,0,34516
Attrited Customer,51,5,Graduate,Divorced,R120K +,Blue,45,6,3,6,34516,0,34516
Existing Customer,58,4,Graduate,Married,R120K +,Silver,45,4,2,3,34516,0,34516
Attrited Customer,53,4,Graduate,Married,R120K +,Blue,38,5,2,3,34516,0,34516
Existing Customer,38,4,Unknown,Single,R120K +,Blue,31,3,2,3,34516,0,34516
Existing Customer,50,1,High School,Single,R80K - R120K,Silver,36,4,5,3,34516,0,34516
Attrited Customer,45,5,Uneducated,Single,R120K +,Silver,36,4,2,1,34516,0,34516
Existing Customer,50,3,High School,Single,R80K - R120K,Silver,41,2,2,1,34516,0,34516
Existing Customer,49,3,High School,Married,R60K - R80K,Gold,42,3,1,4,34516,0,34516
Attrited Customer,55,3,Graduate,Single,R120K +,Silver,36,4,3,4,34516,0,34516
Attrited Customer,33,2,College,Married,R120K +,Gold,20,2,1,4,34516,0,34516
Attrited Customer,46,3,High School,Single,Unknown,Silver,36,4,2,3,34516,154,34362
Attrited Customer,54,4,High School,Single,R80K - R120K,Silver,49,1,3,4,34516,214,34302
Attrited Customer,52,0,High School,Single,R120K +,Blue,39,5,3,3,34516,216,34300
Attrited Customer,57,2,Graduate,Single,R120K +,Blue,44,5,3,4,34516,219,34297
Attrited Customer,51,4,Graduate,Single,R80K - R120K,Silver,42,6,4,2,34516,230,34286
Attrited Customer,53,4,Unknown,Single,R120K +,Blue,48,3,3,4,34516,278,34238
Attrited Customer,46,4,Unknown,Married,R80K - R120K,Blue,39,3,3,2,34516,289,34227
Attrited Customer,44,5,Doctorate,Single,R60K - R80K,Silver,36,2,3,4,34140,0,34140
Attrited Customer,50,2,Uneducated,Unknown,R120K +,Blue,38,6,2,1,34516,397,34119
Attrited Customer,50,2,High School,Married,R120K +,Silver,37,5,2,1,34516,399,34117
Attrited Customer,34,0,Graduate,Divorced,R80K - R120K,Silver,24,1,2,3,34516,400,34116
Attrited Customer,50,1,Graduate,Single,R80K - R120K,Silver,43,6,3,3,34516,432,34084
Existing Customer,44,2,Post-Graduate,Married,R80K - R120K,Blue,37,5,1,1,34058,0,34058
Attrited Customer,51,2,Graduate,Single,Unknown,Platinum,32,2,3,3,34516,531,33985
Existing Customer,39,4,Graduate,Single,R60K - R80K,Gold,34,3,3,2,34516,542,33974
Existing Customer,49,4,Graduate,Married,R80K - R120K,Blue,39,5,1,1,34516,543,33973
Existing Customer,52,1,Graduate,Married,R80K - R120K,Blue,36,4,3,2,34516,549,33967
Attrited Customer,52,3,Doctorate,Married,R120K +,Blue,45,1,3,3,34516,550,33966
Existing Customer,50,1,Unknown,Married,R80K - R120K,Blue,45,5,2,2,33951,0,33951
Attrited Customer,44,2,Uneducated,Single,R80K - R120K,Silver,36,2,3,3,34516,569,33947
Attrited Customer,40,4,Uneducated,Single,R80K - R120K,Blue,36,6,3,2,34516,572,33944
Existing Customer,46,4,College,Single,R120K +,Blue,36,1,2,2,34516,585,33931
Existing Customer,51,2,Unknown,Single,R120K +,Silver,31,2,2,2,34516,585,33931
